,Data_czas,w1_przod_lewy,w1_przod_prawy,w1_tyl_lewy,w1_tyl_prawy,w4_tyl_lewy,w4_tyl_prawy,w4_przod_lewy,w4_przod_prawy,temp_zew,kierunekA,kierunekB,przebieg,avg_max_2_3,max_temp_przekladnie,max_temp_silnika,max_predkosc_osi
0,2021-04-01 03:00:01,3.1456981664315937,4.46002824858757,3.147954866008462,5.670944992947812,4.1650211565585336,5.064073550212164,2.9407355021216413,4.3926449787835935,4.299684791174153,0,0,0.0006197183098591549,3.65,8.3,20.0,0.02
1,2021-04-01 04:00:00,2.412112676056338,3.785232067510549,2.312798874824191,4.825738396624471,3.3298591549295766,4.172253521126762,2.236338028169014,3.753239436619718,4.333184621440755,0,0,0.0008157524613220818,2.7125000000000004,7.4,19.4,0.02
2,2021-04-01 05:00:00,1.835443037974684,3.261744022503516,1.6146272855133614,4.110689170182842,2.694662921348314,3.4471910112359554,1.6953651685393256,3.1980337078651684,4.37518649391441,0,0,0.00044880785413744736,2.0375,6.5,18.8,0.02
3,2021-04-01 06:00:00,2.5703170028818443,3.087752161383285,2.794524495677233,5.464553314121036,5.1476121562952235,6.488712011577425,3.710709117221418,6.184949348769899,4.445758395670858,1,0,7.945419075144509,13.9375,37.8,73.8,57.53
4,2021-04-01 07:00:00,10.456039325842696,4.932303370786516,13.866573033707864,17.92851123595505,20.57175141242938,24.10944992947813,15.238504936530322,20.65839210155148,4.5562328856435,1,0,16.244110169491524,21.0875,64.1,100.0,61.32
5,2021-04-01 08:00:00,9.521940928270043,5.772714486638538,13.438115330520391,17.861040787623068,21.299156118143454,23.729817158931084,16.534458509142056,19.971729957805906,4.7128149143433,0,0,1.0079213483146066,20.762500000000006,64.4,102.5,40.92
6,2021-04-01 09:00:00,9.085112359550562,6.694662921348313,11.3001404494382,14.885252808988767,18.124157303370787,19.042556179775282,13.592977528089886,16.45308988764045,5.0718528717545235,0,0,0.0009523809523809524,14.65,54.8,59.4,0.02
7,2021-04-01 10:00:00,9.76818181818182,8.01178977272727,10.929403409090913,13.922443181818185,16.938297872340428,17.302978723404255,12.782269503546097,15.211914893617024,5.606993908674581,0,0,0.0005397727272727274,12.8625,44.5,50.8,0.02
8,2021-04-01 11:47:00,10.295196506550225,8.838427947598252,11.038427947598253,13.64978165938864,16.517982456140352,16.69561403508771,12.640350877192981,14.82982456140351,5.8297744101945925,0,0,0.00035087719298245617,11.8875,37.8,45.7,0.02
9,2021-04-01 12:00:02,11.164189189189193,10.285135135135134,11.314189189189186,13.368243243243244,15.622297297297294,15.550675675675675,12.508108108108107,14.14459459459459,5.824273981881298,0,0,0.0009459459459459457,11.0875,30.4,39.3,0.02
10,2021-04-01 13:00:00,11.165070422535212,10.414647887323946,11.24661971830986,13.13338028169014,15.158028169014086,15.130422535211265,12.34661971830986,13.905774647887325,5.779815195869085,0,0,0.03658707865168538,9.5625,28.5,39.8,7.19
11,2021-04-01 14:00:00,7.996306818181817,6.869985775248933,10.297293447293447,14.316809116809116,15.259065155807367,17.046619718309856,12.961408450704225,16.30056338028169,5.706417661859031,1,0,14.633620933521927,16.7625,53.1,77.3,57.74
12,2021-04-01 15:00:00,4.316407355021216,4.786685552407931,8.241101694915255,15.968926553672313,18.070621468926554,21.11779661016949,14.258474576271189,18.137570621468925,5.619975502046867,1,0,13.61407616361072,17.987499999999994,58.2,84.0,59.52
13,2021-04-01 16:00:01,4.681586402266289,4.299150141643059,7.127903682719547,15.332436260623233,17.20776836158192,20.278500707213574,13.464639321074966,15.062800565770864,5.5327371257662366,1,0,16.11026874115983,17.75,62.3,94.1,59.85
14,2021-04-01 17:00:00,3.1130985915492966,1.6588732394366197,5.770505617977528,13.346629213483146,15.190126939351199,16.983825597749647,11.858087201125176,12.751195499296765,5.449421894218943,1,0,7.65676056338028,15.625,62.7,97.6,59.68
15,2021-04-01 18:00:01,0.3712078651685393,-1.4071629213483143,-0.22162921348314613,4.745224719101124,6.467134831460674,6.663483146067415,6.430337078651687,6.407152875175316,5.377263356155667,0,0,0.0007865168539325844,8.299999999999999,55.4,65.8,0.02
16,2021-04-01 19:00:00,-0.8064697609001408,-2.9170182841068923,-3.604781997187061,-0.4815752461322082,1.1843661971830988,0.8674647887323943,2.9438028169014085,2.0039381153305205,5.293308921438083,0,0,0.0005337078651685394,0.8374999999999999,41.8,47.1,0.02
17,2021-04-01 20:00:00,-1.7779803646563817,-4.151612903225806,-5.4750000000000005,-3.4356741573033704,-1.5803646563814868,-2.342075736325385,0.7053295932678821,-0.6803370786516854,5.191696404674816,0,0,0.0004213483146067416,0.0,30.0,38.1,0.02
18,2021-04-01 21:00:00,-2.707735583684951,-5.2014064697609,-6.6479606188466915,-5.184431977559608,-3.318092566619916,-4.38288920056101,-1.01711079943899,-2.6102384291725103,5.090285317510415,0,0,0.00033613445378151267,0.0,21.4,31.7,0.02
19,2021-04-01 22:00:00,-3.4254213483146074,-5.91179775280899,-7.236938202247192,-6.1576437587657775,-4.417977528089887,-5.6514767932489445,-2.2511954992967653,-3.9326300984528832,4.996881906696133,0,0,0.0006469760900140647,0.0,15.3,27.0,0.02
20,2021-04-01 23:00:00,-3.9700842696629217,-6.444101123595504,-7.61629213483146,-6.742112676056338,-5.041242937853106,-6.4490168539325845,-3.3620253164556964,-4.962447257383967,4.907266717038157,0,0,0.0005915492957746479,0.0,10.7,23.4,0.02
